Name	ISIN	Symbol	Market	Trading Currency	Open	High	Low	Last	Last Date/Time	Time Zone	Volume	Turnover
European Equities
31 May 2022
All datapoints provided as of end of last active trading day.
1000MERCIS	FR0010285965	ALMIL	Euronext Growth Paris	EUR	30.00	30.00	30.00	30.00	31/05/2022 16:53	CET	438	13140.00
2CRSI	FR0013341781	2CRSI	Euronext Paris	EUR	4.31	4.34	4.31	4.315	31/05/2022 17:35	CET	2086	9027.735
2MX ORGANIC	FR0014000T90	2MX	Euronext Paris	EUR	9.90	9.94	9.90	9.94	31/05/2022 16:47	CET	1586	15745.28
2MX ORGANIC BS	FR0014000TB2	2MXBS	Euronext Paris	EUR	0.23	0.23	0.23	0.23	08/04/2022 14:47	CET	5000	1150.00
A TOUTE VITESSE	FR0010050773	MLATV	Euronext Access Paris	EUR	1.48	1.48	1.35	1.35	13/11/2019 16:53	CET	378	521.87
A.S.T. GROUPE	FR0000076887	ALAST	Euronext Growth Paris	EUR	3.59	3.60	3.50	3.55	31/05/2022 17:35	CET	3447	12239.54
AB SCIENCE	FR0010557264	AB	Euronext Paris	EUR	10.15	10.34	9.86	10.17	31/05/2022 17:35	CET	201509	2045026.795
ABC ARBITRAGE	FR0004040608	ABCA	Euronext Paris	EUR	7.23	7.23	7.11	7.23	31/05/2022 17:35	CET	82479	593145.56
ABEO	FR0013185857	ABEO	Euronext Paris	EUR	16.90	16.95	16.75	16.95	31/05/2022 17:21	CET	3549	59653.15
ABIONYX PHARMA	FR0012616852	ABNX	Euronext Paris	EUR	1.844	1.88	1.844	1.85	31/05/2022 17:35	CET	41962	77976.658
ABIVAX	FR0012333284	ABVX	Euronext Paris	EUR	18.00	18.50	17.54	17.56	31/05/2022 17:35	CET	21200	379741.58
ABL Diagnostics	FR001400AHX6	ABLD	Euronext Paris	EUR	2.93	2.93	2.93	2.93	31/05/2022 11:30	CET	64	187.52
ABO GROUP	BE0974278104	ABO	Euronext Brussels, Paris	EUR	5.15	5.15	5.10	5.10	31/05/2022 15:51	CET	200	1025.00
ACANTHE DEV.	FR0000064602	ACAN	Euronext Paris	EUR	0.472	0.472	0.471	0.471	31/05/2022 14:11	CET	4995	2353.331
ACCOR	FR0000120404	AC	Euronext Paris	EUR	31.01	31.10	30.55	30.57	31/05/2022 17:35	CET	1132124	34632036.57
ACCOR AC SHARES	FR0014003PZ3	AAC	Euronext Paris	EUR	9.65	9.65	9.65	9.65	31/05/2022 15:33	CET	21308	205622.20
ACCOR AC WARRANTS	FR0014003QK3	AACW	Euronext Paris	EUR	0.14	0.14	0.14	0.14	01/04/2022 16:16	CET	1200	168.00
ACHETER-LOUER.FR	FR00140072P8	ALALO	Euronext Growth Paris	EUR	0.001	0.001	0.0008	0.0008	31/05/2022 17:35	CET	63624613	57154.7546
ACTEOS	FR0000076861	EOS	Euronext Paris	EUR	2.15	2.18	2.12	2.12	31/05/2022 14:13	CET	601	1309.01
ACTIA GROUP	FR0000076655	ATI	Euronext Paris	EUR	3.805	4.06	3.805	3.985	31/05/2022 17:28	CET	11641	46302.63
ACTICOR BIOTECH	FR0014005OJ5	ALACT	Euronext Growth Paris	EUR	7.02	7.20	7.00	7.02	31/05/2022 16:16	CET	3652	25815.96
ACTIVIUM GROUP	FR0010979377	MLACT	Euronext Access Paris	EUR	1.15	1.15	1.15	1.15	26/05/2022 11:30	CET	1571	1806.65
ADA	FR0000053076	ALADA	Euronext Growth Paris	EUR	11.10	11.10	11.10	11.10	27/05/2022 11:23	CET	1947	21611.70
ADC SIIC	BE0974269012	ALDV	Euronext Paris	EUR	0.083	0.083	0.083	0.083	16/05/2022 11:30	CET	11900	987.70
ADEUNIS	FR0013284627	ALARF	Euronext Growth Paris	EUR	2.62	2.64	2.62	2.64	31/05/2022 14:43	CET	201	528.64
ADOCIA	FR0011184241	ADOC	Euronext Paris	EUR	5.15	5.17	5.01	5.04	31/05/2022 17:35	CET	21504	109249.12
ADOMOS	FR0013247244	ALADO	Euronext Growth Paris	EUR	0.032	0.032	0.0298	0.03	31/05/2022 17:29	CET	520968	15799.471
ADP	FR0010340141	ADP	Euronext Paris	EUR	139.30	139.90	137.00	139.15	31/05/2022 17:35	CET	182312	25351069.20
ADUX	FR0012821890	ADUX	Euronext Paris, Amsterdam	EUR	1.955	1.955	1.955	1.955	31/05/2022 16:00	CET	3	5.865
ADVENIS	FR0004152874	ALADV	Euronext Growth Paris	EUR	2.80	2.80	2.80	2.80	31/05/2022 15:31	CET	94923	265784.40
ADVICENNE	FR0013296746	ALDVI	Euronext Growth Paris	EUR	5.28	5.30	5.14	5.22	31/05/2022 17:29	CET	7852	40857.53
ADVINI	FR0000053043	ADVI	Euronext Paris	EUR	19.50	19.50	19.30	19.30	31/05/2022 10:13	CET	11	212.50
AELIS FARMA	FR0014007ZB4	AELIS	Euronext Paris	EUR	12.30	12.30	12.26	12.26	31/05/2022 11:26	CET	59	724.38
AERKOMM INC	US00774B2088	AKOM	Euronext Paris	EUR	8.40	8.40	8.40	8.40	30/05/2022 09:43	CET	4	33.60
AFFLUENT MEDICAL	FR0013333077	AFME	Euronext Paris	EUR	4.245	4.26	4.22	4.255	31/05/2022 16:51	CET	49	207.40
AFYREN	FR0014005AC9	ALAFY	Euronext Growth Paris	EUR	7.50	7.52	7.48	7.49	31/05/2022 16:14	CET	3355	25165.54
AG3I	FR0011908045	MLAGI	Euronext Access Paris	EUR	0.31	0.31	0.31	0.31	27/12/2021 11:30	CET	74	22.94
AGENCE AUTO	FR0014005WE9	MLAA	Euronext Access Paris	EUR	3.68	3.68	3.68	3.68	26/05/2022 16:30	CET	3	11.04
AGP MALAGA SOCIMI	ES0105478004	MLAGP	Euronext Access Paris	EUR	2.95	2.95	2.95	2.95	23/11/2020 11:52	CET	2000	5900.00
AGRIPOWER	FR0013452281	ALAGP	Euronext Growth Paris	EUR	8.32	8.44	8.26	8.34	31/05/2022 17:26	CET	987	8241.74
AGROGENERATION	FR0010641449	ALAGR	Euronext Growth Paris	EUR	0.1278	0.136	0.1208	0.1258	31/05/2022 16:34	CET	716636	91894.771
AIR FRANCE -KLM	FR0000031122	AF	Euronext Paris, Amsterdam	EUR	1.8235	1.8415	1.7845	1.7985	31/05/2022 17:36	CET	12127621	21924114.553
AIR FRANCE -KLM DS	FR0014008ZE6	AFDS	Euronext Paris	EUR	1.5754	1.6196	1.4934	1.5002	31/05/2022 15:38	CET	11384918	17620452.5556
AIR LIQUIDE	FR0000120073	AI	Euronext Paris	EUR	164.52	165.38	162.20	162.84	31/05/2022 17:37	CET	2070330	337320502.92
AIR MARINE	FR0013285103	MLAIM	Euronext Access Paris	EUR	0.64	0.69	0.64	0.69	30/05/2022 16:30	CET	755	499.15
AIRBUS	NL0000235190	AIR	Euronext Paris	EUR	110.96	111.10	108.78	108.78	31/05/2022 17:35	CET	1823644	199273811.94
AIRWELL	FR0014003V77	MLAIR	Euronext Access Paris	EUR	3.54	3.54	3.54	3.54	30/05/2022 11:30	CET	1	3.54
AKWEL	FR0000053027	AKW	Euronext Paris	EUR	17.80	18.50	17.80	18.50	31/05/2022 17:35	CET	5654	104353.58
ALAN ALLMAN	FR0000062465	AAA	Euronext Paris	EUR	13.75	13.80	13.00	13.00	31/05/2022 13:50	CET	5	67.35
ALBIOMA	FR0000060402	ABIO	Euronext Paris	EUR	49.90	50.00	49.80	49.86	31/05/2022 17:39	CET	179027	8927118.68
ALBIOMA BSAAR 2018	FR0013368438	ABIBS	Euronext Growth Paris	EUR	26.29	26.29	26.29	26.29	10/05/2022 14:58	CET	250	6572.50
